Matricule,Qualité,Nom usuel,Prénom usuel,État Sénateur,Identifiant mandat,Date d'élection,Date de début de mandat,Année de début de mandat,Motif début de mandat,Date de fin de mandat,Année de fin de mandat,Motif fin de mandat,Commentaire
83008P,M.,Abadie,François,ANCIEN,1,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Election,1992-10-01 00:00:00.0,,Fin de mandat,
83008P,M.,Abadie,François,ANCIEN,2,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 1,2001-03-02 00:00:00.0,2001,Décédé,
14263U,M.,Abate,Patrick,ANCIEN,14390,,2014-12-22 00:00:00.0,,Remplace,2017-06-17 00:00:00.0,,Reprise mandat d'ancien membre du Gvt,"en remplacement de M. Jean-Marc Todeschini, devenu membre du Gouvernement"
57316A,M.,Abdellatif,Mohamed,ANCIEN,9484,1959-05-31 00:00:00.0,1959-05-31 00:00:00.0,,Election,1962-07-04 00:00:00.0,,Cessation de mandat (1962),
95004Y,M.,About,Nicolas,ANCIEN,3,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,2004-09-30 00:00:00.0,,Fin de mandat,
95004Y,M.,About,Nicolas,ANCIEN,10857,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Renouvellement 1,2011-01-23 00:00:00.0,,Cessation de mandat,
000346,M.,Achour,Youssef,ANCIEN,9486,1959-05-31 00:00:00.0,1959-05-31 00:00:00.0,,Election,1962-07-04 00:00:00.0,,Cessation de mandat (1962),
08008S,M.,Ackermann,Yves,ANCIEN,11464,2008-09-08 00:00:00.0,2008-09-08 00:00:00.0,,Remplace,2008-09-30 00:00:00.0,,Non réélu,"En remplacement de M. Dreyfus-Schmidt, décédé"
89017R,M.,Adnot,Philippe,ANCIEN,4,1989-09-24 00:00:00.0,1989-10-02 00:00:00.0,,Election,1998-09-30 00:00:00.0,,Fin de mandat,
89017R,M.,Adnot,Philippe,ANCIEN,5027,1998-09-27 00:00:00.0,1998-10-01 00:00:00.0,,Renouvellement 1,2008-09-30 00:00:00.0,,Fin de mandat,
89017R,M.,Adnot,Philippe,ANCIEN,11494,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Renouvellement 2,2014-09-30 00:00:00.0,,Fin de mandat,
89017R,M.,Adnot,Philippe,ANCIEN,14062,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Renouvellement,2020-09-30 00:00:00.0,,Ne se représente pas,
000448,M.,Agarande,Henri,ANCIEN,1921,,1978-06-10 00:00:00.0,,Remplace,1980-10-01 00:00:00.0,,Ne se représente pas,"En remplacement de M. Léopold HEDER, décédé"
000425,M.,Ahmed,Abdallah Abderamane,ANCIEN,9480,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Election,1968-10-01 00:00:00.0,,Fin de mandat,
000425,M.,Ahmed,Abdallah Abderamane,ANCIEN,9481,1968-09-22 00:00:00.0,1968-10-02 00:00:00.0,,Renouvellement,1973-01-09 00:00:00.0,,Démissionnaire,
11076S,Mme,Aïchi,Leila,ANCIEN,12740,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Election,2017-10-01 00:00:00.0,,Ne se représente pas,
000260,M.,Al Sid Cheikh,Cheikh,ANCIEN,9489,1959-05-24 00:00:00.0,1959-05-24 00:00:00.0,,Election,1962-07-04 00:00:00.0,,Cessation de mandat (1962),
58343H,Mme,Alduy,Jacqueline,ANCIEN,1927,,1982-10-23 00:00:00.0,,Remplace,1983-10-02 00:00:00.0,,Ne se représente pas,"En remplacement de M. Léon Jean GREGORY, décédé"
01006K,M.,Alduy,Jean-Paul,ANCIEN,6359,2001-09-23 00:00:00.0,2001-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Non réélu,
59213C,M.,Alduy,Paul,ANCIEN,1929,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Election,1992-10-01 00:00:00.0,,Non réélu,
57773X,Mme,Alexandre Debray,Janine,ANCIEN,1931,,1976-02-17 00:00:00.0,,Remplace,1977-10-02 00:00:00.0,,Ne se représente pas,"En remplacement de M. Jean LEGARET, décédé"
01065W,M.,Alfonsi,Nicolas,ANCIEN,6649,2001-12-02 00:00:00.0,2001-12-02 00:00:00.0,,Election,2008-09-30 00:00:00.0,,Fin de mandat,
01065W,M.,Alfonsi,Nicolas,ANCIEN,11477,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Renouvellement 1,2014-09-30 00:00:00.0,,Ne se représente pas,
000087,M.,Allies,Charles,ANCIEN,1933,1971-09-26 00:00:00.0,1971-10-02 00:00:00.0,,Election,1980-10-01 00:00:00.0,,Ne se représente pas,
14133K,M.,Allizard,Pascal,ACTIF,14088,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-09-30 00:00:00.0,,Fin de mandat,
14133K,M.,Allizard,Pascal,ACTIF,51865,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
80002U,M.,Alloncle,Michel,ANCIEN,5,1980-09-28 00:00:00.0,1980-10-02 00:00:00.0,,Election,1989-10-01 00:00:00.0,,Fin de mandat,
80002U,M.,Alloncle,Michel,ANCIEN,6,1989-09-24 00:00:00.0,1989-10-02 00:00:00.0,,Renouvellement 1,1998-09-30 00:00:00.0,,Ne se représente pas,
