Matricule,Id appartenance,Id fonction occupée,Nom,Prénom,Code du groupe politique,Nom court du groupe politique,Date de début d'appartenance,Date de fin d'appartenance,Nom court fonction,Date de début de la fonction,Date de fin de la fonction
83008P,208,208,Abadie,François,RDSE,Groupe du RDSE,,2001-03-02 00:00:00.0,Membre,,2001-03-02 00:00:00.0
14263U,2623,2974,Abate,Patrick,CRC,Groupe CRCE,2014-12-22 00:00:00.0,2017-06-17 00:00:00.0,Membre,2014-12-22 00:00:00.0,2017-06-17 00:00:00.0
57316A,918,1178,Abdellatif,Mohamed,RI,Groupe des RI,,1962-07-04 00:00:00.0,Membre,,1962-07-04 00:00:00.0
95004Y,636,632,About,Nicolas,RI,Groupe des RI,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0,Membre,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0
95004Y,797,793,About,Nicolas,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2003-08-01 00:00:00.0,Membre,2002-12-11 00:00:00.0,2003-08-01 00:00:00.0
95004Y,1626,1888,About,Nicolas,UC,Groupe Union Centriste,2003-08-02 00:00:00.0,2011-01-23 00:00:00.0,Membre,2003-08-02 00:00:00.0,2009-07-06 00:00:00.0
95004Y,1626,2356,About,Nicolas,UC,Groupe Union Centriste,2003-08-02 00:00:00.0,2011-01-23 00:00:00.0,Président,2009-07-07 00:00:00.0,2011-01-23 00:00:00.0
95004Y,289,289,About,Nicolas,RI,Groupe des RI,,2001-10-01 00:00:00.0,Membre,,2001-10-01 00:00:00.0
000346,919,1179,Achour,Youssef,GD,Gauche Démocratique,,1962-07-04 00:00:00.0,Membre,,1962-07-04 00:00:00.0
08008S,1889,2173,Ackermann,Yves,NI,Réunion administrative des non-inscrits,2008-09-08 00:00:00.0,2008-09-10 00:00:00.0,Membre,2008-09-08 00:00:00.0,2008-09-10 00:00:00.0
08008S,1890,2174,Ackermann,Yves,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-09-11 00:00:00.0,2008-09-30 00:00:00.0,Membre,2008-09-11 00:00:00.0,2008-09-30 00:00:00.0
89017R,19,424,Adnot,Philippe,NI,Réunion administrative des non-inscrits,,2020-09-30 00:00:00.0,Délégué,1998-10-05 00:00:00.0,2020-09-30 00:00:00.0
89017R,19,19,Adnot,Philippe,NI,Réunion administrative des non-inscrits,,2020-09-30 00:00:00.0,Membre,,1998-10-04 00:00:00.0
000448,920,1180,Agarande,Henri,SOC,"Groupe Socialiste, Écologiste et Républicain",,1980-10-01 00:00:00.0,Membre,,1980-10-01 00:00:00.0
000425,917,1177,Ahmed,Abdallah Abderamane,NI,Réunion administrative des non-inscrits,,1973-01-09 00:00:00.0,Membre,,1973-01-09 00:00:00.0
11076S,2292,2566,Aïchi,Leila,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,2012-01-10 00:00:00.0,Membre,2011-10-01 00:00:00.0,2012-01-10 00:00:00.0
11076S,2346,2667,Aïchi,Leila,ECO,Groupe écologiste,2012-01-11 00:00:00.0,2017-06-29 00:00:00.0,Membre,2012-01-11 00:00:00.0,2017-06-29 00:00:00.0
11076S,2719,3102,Aïchi,Leila,NI,Réunion administrative des non-inscrits,2017-06-30 00:00:00.0,2017-07-03 00:00:00.0,Membre,2017-06-30 00:00:00.0,2017-07-03 00:00:00.0
11076S,2727,3120,Aïchi,Leila,UC,Groupe Union Centriste,2017-07-04 00:00:00.0,2017-10-01 00:00:00.0,Membre,2017-07-04 00:00:00.0,2017-10-01 00:00:00.0
59533R,921,1181,D'Aillieres,Michel,RI,Groupe des RI,,1995-10-01 00:00:00.0,Membre,,1995-10-01 00:00:00.0
000260,1597,1857,Al Sid Cheikh,Cheikh,UNR,Union pour la Nouvelle République,,1962-07-04 00:00:00.0,Membre,,1962-07-04 00:00:00.0
01006K,513,512,Alduy,Jean-Paul,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
01006K,572,571,Alduy,Jean-Paul,UC,Groupe Union Centriste,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0,Membre,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0
01006K,829,825,Alduy,Jean-Paul,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2011-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2011-09-30 00:00:00.0
58343H,922,1182,Alduy,Jacqueline,NI,Réunion administrative des non-inscrits,,1983-10-02 00:00:00.0,Membre,,1983-10-02 00:00:00.0
59213C,1565,1825,Alduy,Paul,UC,Groupe Union Centriste,,1992-10-01 00:00:00.0,Membre,,1992-10-01 00:00:00.0
57773X,923,1183,Alexandre Debray,Janine,RI,Groupe des RI,,1977-10-02 00:00:00.0,Membre,,1977-10-02 00:00:00.0
01065W,642,639,Alfonsi,Nicolas,NI,Réunion administrative des non-inscrits,2001-12-02 00:00:00.0,2001-12-04 00:00:00.0,Membre,2001-12-02 00:00:00.0,2001-12-04 00:00:00.0
01065W,643,640,Alfonsi,Nicolas,RDSE,Groupe du RDSE,2001-12-04 00:00:00.0,2014-09-30 00:00:00.0,Membre,2001-12-04 00:00:00.0,2014-09-30 00:00:00.0
000087,924,1184,Allies,Charles,SOC,"Groupe Socialiste, Écologiste et Républicain",,1980-10-01 00:00:00.0,Membre,,1980-10-01 00:00:00.0
