prénom,nom,senateur
Arthur,Lavy,http://www.wikidata.org/entity/Q2865192
Arthur,Moulin,http://www.wikidata.org/entity/Q2865258
Bruno,Gilles,http://www.wikidata.org/entity/Q2926806
Bruno,Retailleau,http://www.wikidata.org/entity/Q2926942
Bruno,Sido,http://www.wikidata.org/entity/Q2926985
Catherine,Deroche,http://www.wikidata.org/entity/Q2941883
Catherine,Dumas,http://www.wikidata.org/entity/Q2941903
Catherine,Génisson,http://www.wikidata.org/entity/Q2941945
Catherine,Morin-Desailly,http://www.wikidata.org/entity/Q2942013
Catherine,Tasca,http://www.wikidata.org/entity/Q2942078
Catherine,Troendle,http://www.wikidata.org/entity/Q2942086
Charles,Alliès,http://www.wikidata.org/entity/Q2958377
Charles,Beaupetit,http://www.wikidata.org/entity/Q2958508
Charles,Bosson,http://www.wikidata.org/entity/Q2958585
Charles,Descours,http://www.wikidata.org/entity/Q2958887
Charles,Durand,http://www.wikidata.org/entity/Q2958971
Charles,Gautier,http://www.wikidata.org/entity/Q2959183
Charles,Josselin,http://www.wikidata.org/entity/Q2959501
Charles,Pelletier,http://www.wikidata.org/entity/Q2959965
Charles,Revet,http://www.wikidata.org/entity/Q2960112
Charles,Stoessel,http://www.wikidata.org/entity/Q2960257
Charles,Suran,http://www.wikidata.org/entity/Q2960268
Bernadette,Bourzai,http://www.wikidata.org/entity/Q2897356
Bernadette,Dupont,http://www.wikidata.org/entity/Q2897358
Béatrice,Descamps,http://www.wikidata.org/entity/Q2929439
Camille,Cabana,http://www.wikidata.org/entity/Q2934879
Aubert,García,http://www.wikidata.org/entity/Q2870571
Armand,Martin,http://www.wikidata.org/entity/Q2861761
Bernard,Angels,http://www.wikidata.org/entity/Q2897442
Bernard,Barbier,http://www.wikidata.org/entity/Q2897487
Bernard,Cazeau,http://www.wikidata.org/entity/Q2897658
Bernard,Fournier,http://www.wikidata.org/entity/Q2897913
Bernard,Frimat,http://www.wikidata.org/entity/Q2897926
Bernard,Guyomard,http://www.wikidata.org/entity/Q2898019
Bernard,Hugo,http://www.wikidata.org/entity/Q2898073
Bernard,Joly,http://www.wikidata.org/entity/Q2898104
Bernard,Laurent,http://www.wikidata.org/entity/Q2898189
Bernard,Legrand,http://www.wikidata.org/entity/Q2898220
Bernard,Lemarié,http://www.wikidata.org/entity/Q2898230
Bernard,Mantienne,http://www.wikidata.org/entity/Q2898280
Bernard,Murat,http://www.wikidata.org/entity/Q2898366
Bernard,Piras,http://www.wikidata.org/entity/Q2898442
Bernard,Vera,http://www.wikidata.org/entity/Q2898741
Antoine,Lefèvre,http://www.wikidata.org/entity/Q2854148
Arnaud,Bazin,http://www.wikidata.org/entity/Q2863048
Caroline,Fournier,http://www.wikidata.org/entity/Q2939980
Caroline,Cayeux,http://www.wikidata.org/entity/Q2939980
Christian,Bonnet,http://www.wikidata.org/entity/Q2965060
Christian,Cambon,http://www.wikidata.org/entity/Q2965111
Christian,Cointat,http://www.wikidata.org/entity/Q2965163
Christian,Demuynck,http://www.wikidata.org/entity/Q2965213
Christian,Favier,http://www.wikidata.org/entity/Q2965244
Auguste,Amic,http://www.wikidata.org/entity/Q2871031
Auguste,Billiemaz,http://www.wikidata.org/entity/Q2871063
Auguste,Cazalet,http://www.wikidata.org/entity/Q2871109
Auguste,Chupin,http://www.wikidata.org/entity/Q2871128
Auguste,Cousin,http://www.wikidata.org/entity/Q2871133
Auguste,Pinton,http://www.wikidata.org/entity/Q2871361
Brigitte,Bout,http://www.wikidata.org/entity/Q2925414
Brigitte,Gonthier,http://www.wikidata.org/entity/Q2925430
Brigitte,Maurin,http://www.wikidata.org/entity/Q2925430
Brigitte,Gros,http://www.wikidata.org/entity/Q2925431
Brigitte,Luypaert,http://www.wikidata.org/entity/Q2925448
Benoît,Huré,http://www.wikidata.org/entity/Q2896549
Basile,Tui,http://www.wikidata.org/entity/Q2886860
Aymeri,de Montesquiou,http://www.wikidata.org/entity/Q2874954
Baudouin,de Hauteclocque,http://www.wikidata.org/entity/Q2891992
Abel,Gauthier,http://www.wikidata.org/entity/Q2821511
Abel,Sempé,http://www.wikidata.org/entity/Q2821531
Adolphe,Chauvin,http://www.wikidata.org/entity/Q2824791
Adolphe,Dutoit,http://www.wikidata.org/entity/Q2824814
Amédée,Bouquerel,http://www.wikidata.org/entity/Q2844631
Amédée,Valeau,http://www.wikidata.org/entity/Q2844715
Annie,David,http://www.wikidata.org/entity/Q2851645
Annie,Guillemot,http://www.wikidata.org/entity/Q2851664
